name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC4293,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4293_sep_thr2.5_area15_deb0.0001_dil2.png,932,930,0.05522320162770336,0.05397782102227211,0.008932541124522686,
NGC4294,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4294_sep_thr2.5_area15_deb0.0001_dil2.png,2607,2606,0.07466151577904831,0.050841860473155975,0.008401172235608101,
NGC4303,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4303_sep_thr2.5_area15_deb0.0001_dil2.png,1009,1005,0.06499122530303525,0.09356298297643661,0.013376173563301563,
NGC4314,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4314_sep_thr2.5_area15_deb0.0001_dil2.png,440,439,0.03651344062120269,0.014686556532979012,0.014256710186600685,
NGC4369,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4369_sep_thr2.5_area15_deb0.0001_dil2.png,940,939,0.05405754601127912,0.014128120616078377,0.009104572236537933,
NGC4389,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4389_sep_thr2.5_area15_deb0.0001_dil2.png,412,409,0.030077010790873736,0.04583531618118286,0.016912776976823807,
NGC4405,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4405_sep_thr2.5_area15_deb0.0001_dil2.png,665,663,0.05163639975220857,0.05016995966434479,0.012790433131158352,
NGC4424,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4424_sep_thr2.5_area15_deb0.0001_dil2.png,2095,2092,0.08382386786106291,0.047925081104040146,0.008501166477799416,
NGC4449,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4449_sep_thr2.5_area15_deb0.0001_dil2.png,490,487,0.0678472545616189,0.013027084991335869,0.015736030414700508,
NGC4450,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4450_sep_thr2.5_area15_deb0.0001_dil2.png,741,739,0.037371025752841534,0.03179830312728882,0.012495202012360096,
