designation,parallax,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 64720625961541120,7.377781072221634,,,,Gaia DR3 64720625961541120,54.95722061120645,23.057154492976068,7.3778,21.0879,-44.7482,0.0,2016.0,0.0
Gaia DR3 64734709159049600,7.2387017323196385,0.6961,0.6731,0.7213,Gaia DR3 64734709159049600,54.93055020913032,23.20691287032353,7.2387,20.6215,-42.9956,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64739248940235392,7.135003545664876,0.1263,0.1179,0.135,Gaia DR3 64739248940235392,56.24560047392225,22.032257713665405,7.135,18.8316,-43.7112,6.6719,2016.0,0.0
Gaia DR3 64745841713292160,7.114625466024126,1.0564,1.0196,1.0918,Gaia DR3 64745841713292160,56.24330503901932,22.191554815221856,7.1146,19.0451,-44.4124,0.0,2016.0,6.579101829222694E-15
Gaia DR3 64764189813713408,7.697153229748753,0.7064,0.6684,0.7465,Gaia DR3 64764189813713408,56.12297208474871,22.423398437573756,7.6972,20.0603,-46.4154,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64765254965634176,6.9180117362823434,0.0459,0.015,0.0936,Gaia DR3 64765254965634176,56.10635909696461,22.46369887841194,6.918,19.3664,-43.4429,0.0,2016.0,6.56628035765934E-15
Gaia DR3 64768763955442944,7.33043869209861,0.5661,0.5562,0.5776,Gaia DR3 64768763955442944,56.360732948219095,22.525409252257422,7.3304,19.9161,-44.2545,0.0,2016.0,9.67288439809131E-15
Gaia DR3 64770241424108032,7.552546175586704,0.2491,0.2438,0.2536,Gaia DR3 64770241424108032,56.174349922317965,22.464346002407783,7.5525,22.0766,-45.3716,5.97,2016.0,7.105427357601002E-15
Gaia DR3 64797523056344064,7.474573378126966,0.7461,0.7344,0.7597,Gaia DR3 64797523056344064,56.28627464077071,22.641631247895923,7.4746,22.0137,-46.661,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64798038452412928,7.290828186403347,0.6671,0.6556,0.6791,Gaia DR3 64798038452412928,56.301887263098536,22.69730741222624,7.2908,19.3837,-46.041,0.0,2016.0,0.0
Gaia DR3 64798691287540224,7.291631614082201,0.5354,0.5318,0.538,Gaia DR3 64798691287540224,56.41633572294943,22.694265149860293,7.2916,19.8304,-44.1582,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64804360644343424,7.498059675999509,0.6564,0.6396,0.6742,Gaia DR3 64804360644343424,56.66843414271722,22.84418456402768,7.4981,20.1771,-46.9292,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64808204638390912,7.1525685788631295,0.0613,0.0542,0.0693,Gaia DR3 64808204638390912,56.66006365313638,22.919584206915975,7.1526,19.9242,-43.5493,6.3247,2016.0,7.446601175617216E-15
Gaia DR3 64808483812941440,7.2607543201303235,1.5967,1.5865,1.613,Gaia DR3 64808483812941440,56.645075788192386,22.935281042623288,7.2608,19.4508,-45.279,-14.5842,2016.0,3.552713678800501E-15
