name,status,report_png,cleaned_fits,raw_segments,kept_segments,masked_fraction,background_level,background_rms,elapsed_seconds,error
NGC2903,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC2903_sep_thr3.4_area1_deb0.0009_dil3.png,,8685,8683,0.11553681605750724,-0.005208834074437618,0.010521487332880497,3.3445355000003474,
NGC2968,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC2968_sep_thr3.4_area1_deb0.0009_dil3.png,,2485,2484,0.06079744473681425,-0.0044115446507930756,0.016146566718816757,1.5175133999873651,
NGC3185,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3185_sep_thr3.4_area1_deb0.0009_dil3.png,,1620,1620,0.06318027119877564,-0.004670320078730583,0.021026968955993652,0.9881586999981664,
NGC3227,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3227_sep_thr3.4_area1_deb0.0009_dil3.png,,1058,1057,0.04643180658929738,-0.005264111794531345,0.03323481231927872,1.1889942000125302,
NGC3264,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3264_sep_thr3.4_area1_deb0.0009_dil3.png,,982,981,0.03103221025561417,-0.004106271546334028,0.02256646566092968,0.9315301000024192,
NGC3287,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3287_sep_thr3.4_area1_deb0.0009_dil3.png,,1107,1106,0.038943402000726844,-0.003996603190898895,0.022160466760396957,1.2248244999937015,
NGC3319,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3319_sep_thr3.4_area1_deb0.0009_dil3.png,,2077,2075,0.14432258285635946,-0.007166294846683741,0.00724268052726984,1.216936099997838,
NGC3344,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3344_sep_thr3.4_area1_deb0.0009_dil3.png,,1589,1588,0.08289707240950973,-0.0064942482858896255,0.017743442207574844,0.9102926000050502,
NGC3359,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3359_sep_thr3.4_area1_deb0.0009_dil3.png,,2523,2522,0.04675065994958551,-0.003668048419058323,0.021120842546224594,1.7415153000038117,
NGC3380,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3380_sep_thr3.4_area1_deb0.0009_dil3.png,,866,865,0.05208935258279833,-0.004667770583182573,0.020977376028895378,0.8023829000012483,
NGC3447,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3447_sep_thr3.4_area1_deb0.0009_dil3.png,,884,882,0.06006285647770923,-0.0052569410763680935,0.020109277218580246,0.8046090999996522,
NGC3485,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3485_sep_thr3.4_area1_deb0.0009_dil3.png,,870,869,0.059424326833797586,-0.003934136126190424,0.02103441208600998,0.8424395000038203,
NGC3486,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3486_sep_thr3.4_area1_deb0.0009_dil3.png,,2121,2120,0.12111120542493091,-0.006485552527010441,0.008646565489470959,0.8793908999941777,
NGC3504,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC3504_sep_thr3.4_area1_deb0.0009_dil3.png,,2619,2618,0.08261709495170402,-0.004966793581843376,0.011379791423678398,1.262551900013932,
